coverage,found,agent_0,agent_1,agent_2,agent_3,agent_4
13.625,False,-64,-64,-64,-64,-64
13.5,False,-64,-64,-64,-64,-64
12.75,False,-64,-64,-64,-64,-64
12.4375,False,-64,-64,-64,-64,-64
13.0,False,-88,-88,-88,-88,-88
11.8125,False,-88,-88,-88,-88,-88
13.1875,False,-92,-92,-92,-92,-92
14.0,False,-92,-92,-92,-92,-92
11.5625,False,-38,-38,-38,-38,-38
14.5625,False,-38,-38,-38,-38,-38
13.1875,False,-118,-118,-118,-118,-118
14.875,False,-118,-118,-118,-118,-118
15.25,False,-70,-70,-70,-70,-70
15.25,False,-70,-70,-70,-70,-70
2.125,False,-62,-62,-62,-62,-62
15.375,False,-62,-62,-62,-62,-62
14.375,False,-108,-108,-108,-108,-108
13.0,False,-108,-108,-108,-108,-108
14.5,False,-16,-16,-16,-16,-16
11.0625,False,-16,-16,-16,-16,-16
12.5,False,-76,-76,-76,-76,-76
14.1875,False,-76,-76,-76,-76,-76
14.4375,False,-22,-22,-22,-22,-22
14.0625,False,-22,-22,-22,-22,-22
13.9375,False,8,8,8,8,8
13.0625,False,8,8,8,8,8
12.8125,False,2,2,2,2,2
10.3125,False,2,2,2,2,2
13.875,False,113,113,113,113,113
13.8125,False,113,113,113,113,113
14.0625,False,-10,-10,-10,-10,-10
15.8125,False,-10,-10,-10,-10,-10
11.8125,False,-36,-36,-36,-36,-36
5.625,False,-36,-36,-36,-36,-36
13.0625,False,-86,-86,-86,-86,-86
13.0,False,-86,-86,-86,-86,-86
14.125,False,-24,-24,-24,-24,-24
8.9375,False,-24,-24,-24,-24,-24
13.0625,False,-18,-18,-18,-18,-18
12.9375,False,-18,-18,-18,-18,-18
13.5625,False,-84,-84,-84,-84,-84
9.875,False,-84,-84,-84,-84,-84
10.3125,False,-48,-48,-48,-48,-48
13.75,False,-48,-48,-48,-48,-48
13.5625,False,-28,-28,-28,-28,-28
14.4375,False,-28,-28,-28,-28,-28
14.125,False,-42,-42,-42,-42,-42
14.6875,False,-42,-42,-42,-42,-42
14.9375,False,-44,-44,-44,-44,-44
13.875,False,-44,-44,-44,-44,-44
14.4375,False,20,20,20,20,20
12.875,False,20,20,20,20,20
11.75,False,-68,-68,-68,-68,-68
12.8125,False,-68,-68,-68,-68,-68
16.375,False,111,111,111,111,111
3.8125,False,111,111,111,111,111
10.75,False,-50,-50,-50,-50,-50
14.25,False,-50,-50,-50,-50,-50
13.75,False,-60,-60,-60,-60,-60
13.6875,False,-60,-60,-60,-60,-60
4.25,False,-18,-18,-18,-18,-18
13.25,False,-18,-18,-18,-18,-18
13.5,False,10,10,10,10,10
14.75,False,10,10,10,10,10
10.6875,False,22,22,22,22,22
13.8125,False,22,22,22,22,22
14.25,False,111,111,111,111,111
10.25,False,111,111,111,111,111
12.5625,False,-82,-82,-82,-82,-82
13.1875,False,-82,-82,-82,-82,-82
11.5625,False,-86,-86,-86,-86,-86
11.875,False,-86,-86,-86,-86,-86
14.4375,False,-34,-34,-34,-34,-34
13.125,False,-34,-34,-34,-34,-34
10.75,False,115,115,115,115,115
13.3125,False,115,115,115,115,115
13.9375,False,-84,-84,-84,-84,-84
13.0625,False,-84,-84,-84,-84,-84
12.5625,False,-72,-72,-72,-72,-72
11.9375,False,-72,-72,-72,-72,-72
12.1875,False,-52,-52,-52,-52,-52
13.0,False,-52,-52,-52,-52,-52
13.75,False,-20,-20,-20,-20,-20
11.3125,False,-20,-20,-20,-20,-20
12.875,False,103,103,103,103,103
14.125,False,103,103,103,103,103
14.3125,False,-64,-64,-64,-64,-64
12.1875,False,-64,-64,-64,-64,-64
15.1875,False,-70,-70,-70,-70,-70
6.125,False,-70,-70,-70,-70,-70
12.5625,False,-28,-28,-28,-28,-28
11.375,False,-28,-28,-28,-28,-28
13.5625,False,-52,-52,-52,-52,-52
13.75,False,-52,-52,-52,-52,-52
12.625,False,-38,-38,-38,-38,-38
14.6875,False,-38,-38,-38,-38,-38
14.25,False,-6,-6,-6,-6,-6
14.6875,False,-6,-6,-6,-6,-6
12.125,False,-42,-42,-42,-42,-42
15.0625,False,-42,-42,-42,-42,-42
14.4375,False,-44,-44,-44,-44,-44
13.125,False,-44,-44,-44,-44,-44
12.75,False,-66,-66,-66,-66,-66
13.125,False,-66,-66,-66,-66,-66
12.8125,False,-84,-84,-84,-84,-84
13.875,False,-84,-84,-84,-84,-84
3.6875,False,-88,-88,-88,-88,-88
13.125,False,-88,-88,-88,-88,-88
14.0,False,32,32,32,32,32
14.6875,False,32,32,32,32,32
15.1875,False,108,108,108,108,108
13.25,False,108,108,108,108,108
13.0625,False,-136,-136,-136,-136,-136
13.125,False,-136,-136,-136,-136,-136
14.6875,False,-30,-30,-30,-30,-30
10.4375,False,-30,-30,-30,-30,-30
12.1875,False,-48,-48,-48,-48,-48
9.0,False,-48,-48,-48,-48,-48
14.75,False,-32,-32,-32,-32,-32
11.8125,False,-32,-32,-32,-32,-32
13.8125,False,117,117,117,117,117
13.75,False,117,117,117,117,117
13.75,False,-72,-72,-72,-72,-72
11.4375,False,-72,-72,-72,-72,-72
14.9375,False,-64,-64,-64,-64,-64
13.25,False,-64,-64,-64,-64,-64
12.8125,False,8,8,8,8,8
13.0,False,8,8,8,8,8
13.0625,False,-138,-138,-138,-138,-138
3.0,False,-138,-138,-138,-138,-138
14.1875,False,-58,-58,-58,-58,-58
14.4375,False,-58,-58,-58,-58,-58
13.875,False,-38,-38,-38,-38,-38
13.4375,False,-38,-38,-38,-38,-38
15.875,False,-156,-156,-156,-156,-156
10.6875,False,-156,-156,-156,-156,-156
12.25,False,-86,-86,-86,-86,-86
2.5625,False,-86,-86,-86,-86,-86
10.25,False,-58,-58,-58,-58,-58
14.8125,False,-58,-58,-58,-58,-58
13.5,False,-104,-104,-104,-104,-104
16.4375,False,-104,-104,-104,-104,-104
15.875,False,-102,-102,-102,-102,-102
13.5625,False,-102,-102,-102,-102,-102
12.375,False,-44,-44,-44,-44,-44
6.3125,False,-44,-44,-44,-44,-44
14.6875,False,-82,-82,-82,-82,-82
15.5625,False,-82,-82,-82,-82,-82
11.5,False,-142,-142,-142,-142,-142
14.1875,False,-142,-142,-142,-142,-142
10.8125,False,-42,-42,-42,-42,-42
15.5,False,-42,-42,-42,-42,-42
15.125,False,-40,-40,-40,-40,-40
12.4375,False,-40,-40,-40,-40,-40
14.9375,False,-74,-74,-74,-74,-74
12.625,False,-74,-74,-74,-74,-74
13.0625,False,-98,-98,-98,-98,-98
13.375,False,-98,-98,-98,-98,-98
13.0,False,-112,-112,-112,-112,-112
14.125,False,-112,-112,-112,-112,-112
13.0625,False,-92,-92,-92,-92,-92
13.4375,False,-92,-92,-92,-92,-92
13.875,False,-86,-86,-86,-86,-86
12.6875,False,-86,-86,-86,-86,-86
14.0625,False,-66,-66,-66,-66,-66
12.1875,False,-66,-66,-66,-66,-66
13.0,False,-136,-136,-136,-136,-136
13.5,False,-136,-136,-136,-136,-136
13.3125,False,-74,-74,-74,-74,-74
13.375,False,-74,-74,-74,-74,-74
12.8125,False,-44,-44,-44,-44,-44
5.1875,False,-44,-44,-44,-44,-44
14.3125,False,-38,-38,-38,-38,-38
13.375,False,-38,-38,-38,-38,-38
0.625,False,-96,-96,-96,-96,-96
14.25,False,-96,-96,-96,-96,-96
13.5,False,-8,-8,-8,-8,-8
13.9375,False,-8,-8,-8,-8,-8
12.5,False,121,121,121,121,121
11.3125,False,121,121,121,121,121
13.8125,False,-88,-88,-88,-88,-88
18.1875,False,-88,-88,-88,-88,-88
15.25,False,-130,-130,-130,-130,-130
14.875,False,-130,-130,-130,-130,-130
16.4375,False,-46,-46,-46,-46,-46
14.6875,False,-46,-46,-46,-46,-46
13.375,False,-50,-50,-50,-50,-50
