agent_0,agent_1,agent_2,agent_3,agent_4
5,5,5,5,5
3,3,3,3,3
1,1,1,1,1
3,3,3,3,3
3,3,3,3,3
-1,-1,-1,-1,-1
-3,-3,-3,-3,-3
-1,-1,-1,-1,-1
-3,-3,-3,-3,-3
-3,-3,-3,-3,-3
-1,-1,-1,-1,-1
1,1,1,1,1
-1,-1,-1,-1,-1
-3,-3,-3,-3,-3
-1,-1,-1,-1,-1
1,1,1,1,1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
1,1,1,1,1
1,1,1,1,1
-1,-1,-1,-1,-1
-3,-3,-3,-3,-3
-5,-5,-5,-5,-5
-1,-1,-1,-1,-1
-3,-3,-3,-3,-3
-5,-5,-5,-5,-5
-3,-3,-3,-3,-3
1,1,1,1,1
1,1,1,1,1
3,3,3,3,3
1,1,1,1,1
-3,-3,-3,-3,-3
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
1,1,1,1,1
1,1,1,1,1
-1,-1,-1,-1,-1
1,1,1,1,1
-1,-1,-1,-1,-1
3,3,3,3,3
-1,-1,-1,-1,-1
-5,-5,-5,-5,-5
-3,-3,-3,-3,-3
-3,-3,-3,-3,-3
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
-1,-1,-1,-1,-1
3,3,3,3,3
1,1,1,1,1
3,3,3,3,3
3,3,3,3,3
1,1,1,1,1
-1,-1,-1,-1,-1
1,1,1,1,1
-1,-1,-1,-1,-1
-3,-3,-3,-3,-3
-3,-3,-3,-3,-3
-3,-3,-3,-3,-3
1,1,1,1,1
-3,-3,-3,-3,-3
-3,-3,-3,-3,-3
-3,-3,-3,-3,-3
-3,-3,-3,-3,-3
-3,-3,-3,-3,-3
-3,-3,-3,-3,-3
1,1,1,1,1
1,1,1,1,1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-3,-3,-3,-3,-3
-3,-3,-3,-3,-3
-5,-5,-5,-5,-5
-5,-5,-5,-5,-5
-5,-5,-5,-5,-5
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
1,1,1,1,1
1,1,1,1,1
-5,-5,-5,-5,-5
-3,-3,-3,-3,-3
-5,-5,-5,-5,-5
-3,-3,-3,-3,-3
-1,-1,-1,-1,-1
-3,-3,-3,-3,-3
-3,-3,-3,-3,-3
-1,-1,-1,-1,-1
-3,-3,-3,-3,-3
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
