coverage,found,agent_0,agent_1,agent_2,agent_3,agent_4
14.0625,False,-42,-42,-42,-42,-42
15.5625,False,-2,-2,-2,-2,-2
11.625,False,-102,-102,-102,-102,-102
12.9375,False,-74,-74,-74,-74,-74
4.9375,True,130,130,130,130,130
15.0625,False,-12,-12,-12,-12,-12
15.5625,False,-2,-2,-2,-2,-2
16.8125,False,40,40,40,40,40
15.3125,False,-2,-2,-2,-2,-2
14.4375,False,-32,-32,-32,-32,-32
1.1875,True,110,110,110,110,110
18.3125,False,84,84,84,84,84
10.75,True,97,97,97,97,97
15.75,False,12,12,12,12,12
17.9375,False,82,82,82,82,82
13.4375,False,-56,-56,-56,-56,-56
18.1875,False,90,90,90,90,90
17.5625,False,82,82,82,82,82
15.4375,False,26,26,26,26,26
14.1875,False,-6,-6,-6,-6,-6
17.3125,False,70,70,70,70,70
19.0625,False,118,118,118,118,118
18.8125,False,120,120,120,120,120
17.8125,False,66,66,66,66,66
18.4375,False,90,90,90,90,90
18.9375,False,144,144,144,144,144
18.125,False,90,90,90,90,90
19.875,False,148,148,148,148,148
19.125,False,138,138,138,138,138
19.75,False,126,126,126,126,126
17.0625,False,50,50,50,50,50
18.1875,False,126,126,126,126,126
20.5625,False,172,172,172,172,172
18.6875,False,124,124,124,124,124
0.625,True,100,100,100,100,100
18.3125,False,92,92,92,92,92
18.3125,False,94,94,94,94,94
20.375,False,164,164,164,164,164
19.5,False,116,116,116,116,116
20.125,False,152,152,152,152,152
18.5625,False,90,90,90,90,90
20.6875,False,160,160,160,160,160
19.25,True,269,269,269,269,269
20.5625,False,156,156,156,156,156
18.375,False,90,90,90,90,90
18.3125,False,84,84,84,84,84
20.6875,False,184,184,184,184,184
19.0625,False,146,146,146,146,146
20.3125,False,162,162,162,162,162
15.3125,False,-12,-12,-12,-12,-12
15.6875,False,24,24,24,24,24
9.6875,True,164,164,164,164,164
18.9375,False,108,108,108,108,108
18.75,False,104,104,104,104,104
14.9375,True,203,203,203,203,203
19.4375,False,132,132,132,132,132
20.25,False,154,154,154,154,154
18.3125,False,104,104,104,104,104
18.1875,False,100,100,100,100,100
20.125,False,164,164,164,164,164
19.5,False,132,132,132,132,132
20.1875,False,150,150,150,150,150
16.4375,False,56,56,56,56,56
21.6875,False,212,212,212,212,212
15.4375,False,0,0,0,0,0
22.4375,False,226,226,226,226,226
17.8125,False,64,64,64,64,64
16.625,True,268,268,268,268,268
20.5,False,158,158,158,158,158
20.8125,False,162,162,162,162,162
18.4375,False,98,98,98,98,98
18.875,False,114,114,114,114,114
12.8125,True,138,138,138,138,138
20.1875,False,160,160,160,160,160
17.3125,False,64,64,64,64,64
6.25,True,149,149,149,149,149
20.3125,False,176,176,176,176,176
18.375,False,82,82,82,82,82
21.1875,False,186,186,186,186,186
20.0,False,142,142,142,142,142
11.0,True,111,111,111,111,111
18.0625,False,86,86,86,86,86
17.875,False,76,76,76,76,76
19.6875,False,148,148,148,148,148
17.0,False,54,54,54,54,54
23.1875,False,268,268,268,268,268
19.4375,False,144,144,144,144,144
19.0625,False,104,104,104,104,104
19.125,False,130,130,130,130,130
19.75,False,166,166,166,166,166
16.25,False,40,40,40,40,40
17.625,False,78,78,78,78,78
17.9375,False,78,78,78,78,78
17.375,False,50,50,50,50,50
21.625,False,198,198,198,198,198
17.0,False,74,74,74,74,74
19.25,False,118,118,118,118,118
19.75,False,148,148,148,148,148
20.125,False,148,148,148,148,148
17.0625,False,40,40,40,40,40
18.8125,False,126,126,126,126,126
19.0,False,112,112,112,112,112
20.625,False,214,214,214,214,214
18.0625,False,86,86,86,86,86
18.25,False,110,110,110,110,110
14.6875,False,-20,-20,-20,-20,-20
19.5625,False,138,138,138,138,138
20.9375,False,176,176,176,176,176
12.6875,False,-100,-100,-100,-100,-100
18.1875,False,90,90,90,90,90
21.75,False,202,202,202,202,202
16.5625,False,38,38,38,38,38
17.5625,False,84,84,84,84,84
17.5625,False,86,86,86,86,86
